========================================
 PHASE 2: GRPO REINFORCEMENT LEARNING   
========================================
Loading Phase 1 Brain via MMAP from /opt/rishabh_experimental/rishabh_final.pt...
Initializing ZERO-VRAM SGD Optimizer (lr=1e-4)...
Starting GRPO Loop!
/usr/lib/python3.11/contextlib.py:105: FutureWarning: `torch.backends.cuda.sdp_kernel()` is deprecated. In the future, this context manager will be removed. Please see `torch.nn.attention.sdpa_kernel()` for the new context manager, with updated signature.
  self.gen = func(*args, **kwds)
RL Step 1 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.6s | Prob: A train travels at 63 km/h for... | Ans: 73.0
RL Step 1652 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 43 km/h for... | Ans: 60.78
RL Step 1653 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 57 km/h for... | Ans: 61.86
RL Step 1654 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 52 km/h for... | Ans: 60.33
RL Step 1655 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 48 km/h for... | Ans: 62.5
RL Step 1656 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 76.62
RL Step 1657 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 47 km/h for... | Ans: 59.4
RL Step 1658 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 75 km/h for... | Ans: 85.71
RL Step 1659 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 61 km/h for... | Ans: 66.5
RL Step 1660 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 48 km/h for... | Ans: 63.0
RL Step 1661 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 72 km/h for... | Ans: 74.25
RL Step 1662 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 69.12
RL Step 1663 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 51 km/h for... | Ans: 62.5
RL Step 1664 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 65 km/h for... | Ans: 65.0
RL Step 1665 | Loss: -0.0137 | Avg Reward: 0.17 | Time: 8.1s | Prob: A train travels at 57 km/h for... | Ans: 66.6
RL Step 1666 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 78 km/h for... | Ans: 82.29
RL Step 1667 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 72 km/h for... | Ans: 70.5
RL Step 1668 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 46 km/h for... | Ans: 57.88
RL Step 1669 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 71 km/h for... | Ans: 75.0
RL Step 1670 | Loss: 0.0156 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 62.0
RL Step 1671 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 54 km/h for... | Ans: 58.0
RL Step 1672 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 64 km/h for... | Ans: 69.0
RL Step 1673 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 69 km/h for... | Ans: 76.0
RL Step 1674 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 76 km/h for... | Ans: 79.56
RL Step 1675 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 66.0
RL Step 1676 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 80 km/h for... | Ans: 81.0
RL Step 1677 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 57 km/h for... | Ans: 75.0
RL Step 1678 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 62 km/h for... | Ans: 78.0
RL Step 1679 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 51 km/h for... | Ans: 72.11
RL Step 1680 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 44 km/h for... | Ans: 62.43
RL Step 1681 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 69 km/h for... | Ans: 70.0
RL Step 1682 | Loss: 0.0078 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 83.57
RL Step 1683 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 43 km/h for... | Ans: 53.62
RL Step 1684 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 75 km/h for... | Ans: 72.2
RL Step 1685 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 62.22
RL Step 1686 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 64.62
RL Step 1687 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 62 km/h for... | Ans: 69.0
RL Step 1688 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 42 km/h for... | Ans: 75.0
RL Step 1689 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 42 km/h for... | Ans: 70.5
RL Step 1690 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 78 km/h for... | Ans: 85.2
RL Step 1691 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 72 km/h for... | Ans: 84.5
RL Step 1692 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 79 km/h for... | Ans: 80.5
RL Step 1693 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 47 km/h for... | Ans: 66.0
RL Step 1694 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 43 km/h for... | Ans: 67.29
RL Step 1695 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 42 km/h for... | Ans: 66.0
RL Step 1696 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 77 km/h for... | Ans: 79.14
RL Step 1697 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 73 km/h for... | Ans: 73.38
RL Step 1698 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 70 km/h for... | Ans: 81.0
RL Step 1699 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 50 km/h for... | Ans: 56.86
RL Step 1700 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 42 km/h for... | Ans: 49.71
RL Step 1701 | Loss: -0.0098 | Avg Reward: 0.17 | Time: 8.1s | Prob: A train travels at 56 km/h for... | Ans: 64.0
RL Step 1702 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 70 km/h for... | Ans: 78.57
RL Step 1703 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 40 km/h for... | Ans: 67.6
RL Step 1704 | Loss: 0.0078 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 48 km/h for... | Ans: 65.5
RL Step 1705 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 66 km/h for... | Ans: 67.0
RL Step 1706 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 78 km/h for... | Ans: 79.33
RL Step 1707 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 56 km/h for... | Ans: 59.0
RL Step 1708 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 71 km/h for... | Ans: 78.11
RL Step 1709 | Loss: 0.0039 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 73 km/h for... | Ans: 86.71
RL Step 1710 | Loss: 0.0039 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 56 km/h for... | Ans: 84.67
RL Step 1711 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 48 km/h for... | Ans: 57.38
RL Step 1712 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 61 km/h for... | Ans: 80.8
RL Step 1713 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 43 km/h for... | Ans: 61.5
RL Step 1714 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 40 km/h for... | Ans: 74.67
RL Step 1715 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 47 km/h for... | Ans: 58.43
RL Step 1716 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 74 km/h for... | Ans: 70.5
RL Step 1717 | Loss: 0.0000 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 66 km/h for... | Ans: 70.67
RL Step 1718 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 78 km/h for... | Ans: 91.33
RL Step 1719 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 66.43
RL Step 1720 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 67 km/h for... | Ans: 71.5
RL Step 1721 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 61 km/h for... | Ans: 62.5
RL Step 1722 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 58 km/h for... | Ans: 76.0
RL Step 1723 | Loss: 0.0039 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 64 km/h for... | Ans: 73.33
RL Step 1724 | Loss: 0.0156 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 42 km/h for... | Ans: 65.57
RL Step 1725 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 50 km/h for... | Ans: 77.6
RL Step 1726 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 52 km/h for... | Ans: 62.71
RL Step 1727 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 47 km/h for... | Ans: 64.22
RL Step 1728 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 43 km/h for... | Ans: 58.0
RL Step 1729 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 69 km/h for... | Ans: 79.5
RL Step 1730 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 42 km/h for... | Ans: 57.0
RL Step 1731 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 72 km/h for... | Ans: 77.6
RL Step 1732 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 79 km/h for... | Ans: 73.38
RL Step 1733 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 65 km/h for... | Ans: 71.8
RL Step 1734 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 67 km/h for... | Ans: 74.71
RL Step 1735 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 74 km/h for... | Ans: 86.67
RL Step 1736 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 57 km/h for... | Ans: 72.0
RL Step 1737 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 57 km/h for... | Ans: 75.0
RL Step 1738 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 75 km/h for... | Ans: 88.12
RL Step 1739 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 52 km/h for... | Ans: 58.29
RL Step 1740 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 46 km/h for... | Ans: 59.43
RL Step 1741 | Loss: 0.0003 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 47 km/h for... | Ans: 74.78
RL Step 1742 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 49 km/h for... | Ans: 56.56
RL Step 1743 | Loss: 0.0117 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 50 km/h for... | Ans: 78.57
RL Step 1744 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 66 km/h for... | Ans: 66.43
RL Step 1745 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 55 km/h for... | Ans: 64.5
RL Step 1746 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 49 km/h for... | Ans: 65.0
RL Step 1747 | Loss: 0.0195 | Avg Reward: 0.17 | Time: 8.1s | Prob: A train travels at 49 km/h for... | Ans: 66.0
RL Step 1748 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 42 km/h for... | Ans: 67.0
RL Step 1749 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 69 km/h for... | Ans: 70.12
RL Step 1750 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 46 km/h for... | Ans: 56.22
RL Step 1751 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 45 km/h for... | Ans: 58.71
RL Step 1752 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 63 km/h for... | Ans: 65.57
RL Step 1753 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 61 km/h for... | Ans: 64.6
RL Step 1754 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 73 km/h for... | Ans: 85.0
RL Step 1755 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 56 km/h for... | Ans: 66.86
RL Step 1756 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 54 km/h for... | Ans: 64.0
RL Step 1757 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 79 km/h for... | Ans: 80.14
RL Step 1758 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 63 km/h for... | Ans: 70.5
RL Step 1759 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 67 km/h for... | Ans: 67.62
RL Step 1760 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 68 km/h for... | Ans: 75.0
RL Step 1761 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 61 km/h for... | Ans: 69.4
RL Step 1762 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 48 km/h for... | Ans: 60.0
RL Step 1763 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 50 km/h for... | Ans: 73.75
RL Step 1764 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 47 km/h for... | Ans: 59.0
RL Step 1765 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 55 km/h for... | Ans: 73.89
RL Step 1766 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 44 km/h for... | Ans: 81.86
RL Step 1767 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 58 km/h for... | Ans: 72.0
RL Step 1768 | Loss: 0.0059 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 78 km/h for... | Ans: 74.57
RL Step 1769 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 64 km/h for... | Ans: 67.0
RL Step 1770 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 72 km/h for... | Ans: 73.0
RL Step 1771 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 51 km/h for... | Ans: 60.38
RL Step 1772 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 55 km/h for... | Ans: 70.62
RL Step 1773 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 64 km/h for... | Ans: 66.0
RL Step 1774 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 76.0
RL Step 1775 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 65 km/h for... | Ans: 77.0
RL Step 1776 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 68 km/h for... | Ans: 68.86
RL Step 1777 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 80 km/h for... | Ans: 85.25
RL Step 1778 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 73 km/h for... | Ans: 70.5
RL Step 1779 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 68.78
RL Step 1780 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 50 km/h for... | Ans: 74.5
RL Step 1781 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 65 km/h for... | Ans: 63.5
RL Step 1782 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 67 km/h for... | Ans: 86.2
RL Step 1783 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 80.43
RL Step 1784 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 62 km/h for... | Ans: 79.0
RL Step 1785 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 64 km/h for... | Ans: 75.25
RL Step 1786 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 75 km/h for... | Ans: 70.0
RL Step 1787 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 71.0
RL Step 1788 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 44 km/h for... | Ans: 65.71
RL Step 1789 | Loss: 0.0003 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 71 km/h for... | Ans: 81.5
RL Step 1790 | Loss: -0.0117 | Avg Reward: 0.17 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 73.67
RL Step 1791 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 67 km/h for... | Ans: 69.67
RL Step 1792 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 70 km/h for... | Ans: 76.5
RL Step 1793 | Loss: 0.0039 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 41 km/h for... | Ans: 66.0
RL Step 1794 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 66 km/h for... | Ans: 64.22
RL Step 1795 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 51 km/h for... | Ans: 62.11
RL Step 1796 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 68 km/h for... | Ans: 72.44
RL Step 1797 | Loss: 0.0195 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 75 km/h for... | Ans: 86.5
RL Step 1798 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 52 km/h for... | Ans: 57.71
RL Step 1799 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 57 km/h for... | Ans: 71.29
RL Step 1800 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 59 km/h for... | Ans: 70.43
Saving RL Checkpoint at step 1800...
RL Step 1801 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 51 km/h for... | Ans: 66.0
RL Step 1802 | Loss: 0.0137 | Avg Reward: 0.17 | Time: 8.0s | Prob: A train travels at 52 km/h for... | Ans: 67.5
RL Step 1803 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 60 km/h for... | Ans: 64.29
RL Step 1804 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 45 km/h for... | Ans: 55.22
RL Step 1805 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 64.71
RL Step 1806 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 52 km/h for... | Ans: 66.4
RL Step 1807 | Loss: -0.0020 | Avg Reward: 0.17 | Time: 8.1s | Prob: A train travels at 75 km/h for... | Ans: 73.0
RL Step 1808 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 79 km/h for... | Ans: 83.0
RL Step 1809 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 43 km/h for... | Ans: 58.0
RL Step 1810 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 66.71
RL Step 1811 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 47 km/h for... | Ans: 52.33
RL Step 1812 | Loss: 0.0003 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 80.38
RL Step 1813 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 49 km/h for... | Ans: 56.86
RL Step 1814 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 47 km/h for... | Ans: 69.67
RL Step 1815 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 72 km/h for... | Ans: 86.0
RL Step 1816 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 57 km/h for... | Ans: 68.0
RL Step 1817 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 69.0
RL Step 1818 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 72 km/h for... | Ans: 78.33
RL Step 1819 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 46 km/h for... | Ans: 58.86
RL Step 1820 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 47 km/h for... | Ans: 56.2
RL Step 1821 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 45 km/h for... | Ans: 79.67
RL Step 1822 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 50 km/h for... | Ans: 69.5
RL Step 1823 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 77.57
RL Step 1824 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 53 km/h for... | Ans: 57.86
RL Step 1825 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 49 km/h for... | Ans: 65.67
RL Step 1826 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 80.62
RL Step 1827 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 58 km/h for... | Ans: 67.38
RL Step 1828 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 71 km/h for... | Ans: 77.0
RL Step 1829 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 53 km/h for... | Ans: 59.67
RL Step 1830 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 40 km/h for... | Ans: 60.5
RL Step 1831 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 40 km/h for... | Ans: 55.0
RL Step 1832 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 76 km/h for... | Ans: 86.0
RL Step 1833 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 51 km/h for... | Ans: 62.0
RL Step 1834 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 42 km/h for... | Ans: 51.78
RL Step 1835 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 64 km/h for... | Ans: 63.0
RL Step 1836 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 69 km/h for... | Ans: 68.5
RL Step 1837 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 41 km/h for... | Ans: 55.4
RL Step 1838 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 64 km/h for... | Ans: 76.44
RL Step 1839 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 45 km/h for... | Ans: 52.11
RL Step 1840 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 77 km/h for... | Ans: 72.0
RL Step 1841 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 40 km/h for... | Ans: 51.62
RL Step 1842 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 46 km/h for... | Ans: 61.0
RL Step 1843 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 74 km/h for... | Ans: 81.0
RL Step 1844 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 58 km/h for... | Ans: 63.71
RL Step 1845 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 57 km/h for... | Ans: 66.5
RL Step 1846 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 44 km/h for... | Ans: 67.89
RL Step 1847 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 71 km/h for... | Ans: 81.0
RL Step 1848 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 44 km/h for... | Ans: 76.0
RL Step 1849 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 72 km/h for... | Ans: 68.57
